Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO
03-10-2025,28-10-2025,NYKAA,Non-Hld,238.62,250,233.1,2.37,266.9,11.86,0.46,56.35,2.09,3.28,-1.19,248.51,239.65,230.8
03-10-2025,28-10-2025,OBEROIRLTY,Non-Hld,1606,1700,1582.25,1.51,1817.75,13.19,0.61,44.16,-14.81,-11.67,-3.14,1679.36,1621.9,1564.45
03-10-2025,28-10-2025,OFSS,Non-Hld,8941,9000,8459,5.7,9541,6.72,0.46,55.09,13.87,48.99,-35.13,9490.25,8849.7,8209.15
03-10-2025,28-10-2025,OIL,Non-Hld,416,420,393.05,5.84,446.95,7.44,0.65,56.24,1.79,-0.48,2.27,420.02,403.38,386.75
03-10-2025,28-10-2025,ONGC,Non-Hld,243.78,250,239.8,1.66,260.2,6.74,0.89,66.23,1.61,0.7,0.91,243.45,236.49,229.53
03-10-2025,28-10-2025,PAGEIND,Non-Hld,42945,42000,39942.4,7.52,44057.6,2.6,0.67,45.68,-890.86,-786.86,-104,46043.78,43388.5,40733.22
03-10-2025,28-10-2025,PATANJALI,Non-Hld,585.05,600,564.7,3.61,635.3,8.59,1.17,45.12,-3.62,-1.71,-1.91,612.18,596.72,581.27
03-10-2025,28-10-2025,PAYTM,Non-Hld,1165,1200,1113.05,4.67,1286.95,10.47,0.84,48.29,-12.1,-2.14,-9.96,1280.23,1192.96,1105.68
03-10-2025,28-10-2025,PERSISTENT,Non-Hld,5072,5000,4632.1,9.5,5367.9,5.84,0.5,43.85,-101.01,-59.82,-41.2,5676.14,5222.41,4768.68
03-10-2025,28-10-2025,PETRONET,Non-Hld,277.85,270,253.2,9.74,286.8,3.23,0.54,52.77,-0.89,-1.44,0.55,283.13,275.97,268.82
03-10-2025,28-10-2025,PFC,Holding,413,420,399.15,3.47,440.85,6.75,0.65,58.04,2.47,1.48,0.99,416.72,403.88,391.05
