Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-10-2025,28-Oct-25,BRITANNIA,Non-Hld,5985,,,unchanged,6000,unchanged,5756.05,,,unchanged,3.98,unchanged,6243.95,,,unchanged,4.33,unchanged,0.62,unchanged,52.93,unchanged,34.39,unchanged,65.41,unchanged,-31.02,unchanged,6299.62,,,unchanged,6073.82,,,unchanged,5848.03,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BSE,Holding,2097,,,unchanged,2100,unchanged,1903.1,,,unchanged,10.19,unchanged,2296.9,,,unchanged,9.54,unchanged,0.57,unchanged,40.7,unchanged,-67.9,unchanged,-67.18,unchanged,-0.72,unchanged,2362.45,,,unchanged,2171.03,,,unchanged,1979.61,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CAMS,Holding,3819,,,unchanged,3800,unchanged,3575.85,,,unchanged,6.8,unchanged,4024.15,,,unchanged,5.38,unchanged,0.66,unchanged,44.81,unchanged,-15.56,unchanged,1.47,unchanged,-17.03,unchanged,4077.83,,,unchanged,3890.04,,,unchanged,3702.25,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CANBK,Non-Hld,125.98,,,unchanged,120,unchanged,110.5,,,unchanged,14.01,unchanged,129.5,,,unchanged,2.8,unchanged,0.55,unchanged,71.66,unchanged,3.84,unchanged,3.01,unchanged,0.83,unchanged,127.91,,,unchanged,116.46,,,unchanged,105.01,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CDSL,Holding,1489.8,,,unchanged,1500,unchanged,1415.05,,,unchanged,5.29,unchanged,1584.95,,,unchanged,6.39,unchanged,0.49,unchanged,42.87,unchanged,-19.15,unchanged,-12.69,unchanged,-6.47,unchanged,1605.31,,,unchanged,1528.8,,,unchanged,1452.3,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CGPOWER,Holding,748.35,,,unchanged,840,unchanged,737.7,,,unchanged,1.45,unchanged,942.3,,,unchanged,25.92,unchanged,0.67,unchanged,51.39,unchanged,8.27,unchanged,15.6,unchanged,-7.33,unchanged,804.54,,,unchanged,764.48,,,unchanged,724.42,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CHOLAFIN,Non-Hld,1572,,,unchanged,1500,unchanged,1405,,,unchanged,11.89,unchanged,1595,,,unchanged,1.47,unchanged,0.53,unchanged,52.7,unchanged,26.1,unchanged,26.68,unchanged,-0.58,unchanged,1659.05,,,unchanged,1564.98,,,unchanged,1470.9,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CIPLA,Non-Hld,1517.5,,,unchanged,1600,unchanged,1513.6,,,unchanged,0.26,unchanged,1686.4,,,unchanged,11.14,unchanged,0.56,unchanged,44.38,unchanged,-12.34,unchanged,-6.8,unchanged,-5.54,unchanged,1593.31,,,unchanged,1540.24,,,unchanged,1487.16,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,COALINDIA,Holding,383.9,,,unchanged,400,unchanged,381.2,,,unchanged,0.71,unchanged,418.8,,,unchanged,9.1,unchanged,0.73,unchanged,41.89,unchanged,1.29,unchanged,2.89,unchanged,-1.6,unchanged,399.19,,,unchanged,391.93,,,unchanged,384.66,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,COFORGE,Non-Hld,1614.9,,,unchanged,1800,unchanged,1597.7,,,unchanged,1.08,unchanged,2002.3,,,unchanged,23.99,unchanged,0.65,unchanged,41.37,unchanged,-38.74,unchanged,-24.5,unchanged,-14.24,unchanged,1862.83,,,unchanged,1688.07,,,unchanged,1513.31,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
