Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes
03-Oct-25,28-Oct-25,INDUSTOWER,Non-Hld,354.6,370,345.75,2.56,394.25,11.19,0.69,51.47,-0.09,-0.06,-0.03,364.87,352.32,339.77,,,,,,,,,,
03-Oct-25,28-Oct-25,INFY,Non-Hld,1445.5,1500,1405.5,2.85,1594.5,10.31,0.79,39.69,-12.84,-5.28,-7.55,1561.15,1488.7,1416.24,,,,,,,,,,
03-Oct-25,28-Oct-25,INOXWIND,Non-Hld,142.11,140,130.1,9.24,149.9,5.49,0.77,42.1,-1.9,-1.21,-0.69,155.44,146.35,137.26,,,,,,,,,,
03-Oct-25,28-Oct-25,IOC,Non-Hld,150.4,150,143.2,5.03,156.8,4.26,0.71,67.62,2.07,1.65,0.42,152.19,145.67,139.16,,,,,,,,,,
03-Oct-25,28-Oct-25,IRCTC,Holding,708.4,800,711.3,-0.4,888.7,25.46,0.85,41.32,-4.97,-3.34,-1.63,738.97,717.66,696.35,,,,,,,,,,
03-Oct-25,28-Oct-25,IREDA,Non-Hld,154.31,155,143.9,7.24,166.1,7.65,0.63,56.18,0.87,0.94,-0.07,160.09,151.08,142.07,,,,,,,,,,
03-Oct-25,28-Oct-25,IRFC,Non-Hld,126,130,121.95,3.33,138.05,9.57,0.68,50.04,-0.37,-0.25,-0.12,130.55,126.14,121.74,,,,,,,,,,
03-Oct-25,28-Oct-25,ITC,Non-Hld,404.6,410,398.1,1.64,421.9,4.28,0.61,45.84,-1.74,-1.39,-0.35,416.76,407.96,399.15,,,,,,,,,,
03-Oct-25,28-Oct-25,JINDALSTEL,Non-Hld,1077,1080,1024.65,5.11,1135.35,5.42,0.53,63.14,15.95,15.24,0.71,1071.4,1046.55,1021.7,,,,,,,,,,
03-Oct-25,28-Oct-25,JIOFIN,Non-Hld,302.6,300,284.65,6.31,315.35,4.22,0.89,40.48,-4.92,-3.78,-1.14,323.09,308.06,293.02,,,,,,,,,,
03-Oct-25,28-Oct-25,JSWENERGY,Non-Hld,540.9,550,519.4,4.14,580.6,7.34,0.61,57.74,3.97,3.7,0.27,553.22,529.17,505.13,,,,,,,,,,
03-Oct-25,28-Oct-25,JSWSTEEL,Non-Hld,1160.8,1200,1138.35,1.98,1261.65,8.69,1.17,70.17,21.52,19.93,1.59,1164.01,1120.29,1076.56,,,,,,,,,,
03-Oct-25,28-Oct-25,JUBLFOOD,Non-Hld,628.05,700,629.75,-0.26,770.25,22.65,0.82,48.96,-6.8,-6.61,-0.19,665.23,631.98,598.72,,,,,,,,,,
03-Oct-25,28-Oct-25,KALYANKJIL,Non-Hld,490.55,500,463.25,5.9,536.75,9.42,0.65,48.61,-15.05,-14.21,-0.83,536.37,492.2,448.02,,,,,,,,,,
03-Oct-25,28-Oct-25,KAYNES,Non-Hld,7285,7000,6408.6,13.68,7591.4,4.21,0.78,61,190.14,233.34,-43.2,7464.5,7173.92,6883.35,,,,,,,,,,
03-Oct-25,28-Oct-25,KEI,Non-Hld,4048.5,4200,3937.35,2.83,4462.65,10.23,0.44,48.81,24.51,45.4,-20.89,4208.56,4098.77,3988.99,,,,,,,,,,
03-Oct-25,28-Oct-25,KFINTECH,Holding,1068,1100,1014.55,5.27,1185.45,11,0.62,44.31,-11.4,-9.26,-2.14,1145.29,1092.94,1040.59,,,,,,,,,,
03-Oct-25,28-Oct-25,KOTAKBANK,Non-Hld,2108,2100,2014.2,4.66,2185.8,3.7,0.48,66.54,13.09,5.05,8.04,2090.39,2007.97,1925.55,,,,,,,,,,
03-Oct-25,28-Oct-25,KPITTECH,Non-Hld,1156,1200,1118.3,3.38,1281.7,10.88,0.55,39.66,-17.84,-3.13,-14.71,1335.67,1236.5,1137.34,,,,,,,,,,
03-Oct-25,28-Oct-25,LAURUSLABS,Non-Hld,869.9,900,838.2,3.79,961.8,10.57,1.08,46.47,-1.95,5.31,-7.27,940.51,888.84,837.16,,,,,,,,,,
03-Oct-25,28-Oct-25,LICHSGFIN,Non-Hld,579.5,600,572.1,1.3,627.9,8.36,0.72,54.84,1.56,1.51,0.06,593.8,571.83,549.86,,,,,,,,,,
03-Oct-25,28-Oct-25,LICI,Non-Hld,905.5,900,859.2,5.39,940.8,3.9,0.86,58.63,3.64,1.14,2.5,909.24,887.72,866.21,,,,,,,,,,
03-Oct-25,28-Oct-25,LODHA,Non-Hld,1112.2,1200,1098.5,1.25,1301.5,17.03,0.64,30.33,-25.19,-20.65,-4.54,1231.01,1175.19,1119.37,,,,,,,,,,
03-Oct-25,28-Oct-25,LT,Non-Hld,3742.9,3700,3556.2,5.25,3843.8,2.7,0.56,61.56,28.25,22.06,6.19,3764.21,3633.96,3503.71,,,,,,,,,,
03-Oct-25,28-Oct-25,LTF,Non-Hld,262.9,250,229.45,14.58,270.55,2.91,0.64,75.71,8.88,8.14,0.74,259.36,242.55,225.75,,,,,,,,,,
03-Oct-25,28-Oct-25,LTIM,Non-Hld,5117.5,6000,5994.5,-14.63,6005.5,17.36,0.74,42.76,-20.02,9.27,-29.28,5512.35,5257.6,5002.85,,,,,,,,,,
03-Oct-25,28-Oct-25,LUPIN,Non-Hld,1975,2000,1909.35,3.44,2090.65,5.86,0.51,50.42,-0.21,7.77,-7.98,2078.24,1988.78,1899.33,,,,,,,,,,
03-Oct-25,28-Oct-25,M%26M,Non-Hld,3460,3500,3327.7,3.98,3672.3,6.14,0.5,48.96,17.4,45.52,-28.12,3713.43,3554.3,3395.17,,,,,,,,,,
03-Oct-25,28-Oct-25,MANAPPURAM,Non-Hld,286.15,300,279.1,2.53,320.9,12.15,0.59,53.59,2.34,3.86,-1.52,298.01,288.09,278.18,,,,,,,,,,
03-Oct-25,28-Oct-25,MANKIND,Non-Hld,2456,2600,2385.9,2.94,2814.1,14.59,0.68,37.08,-24.9,-6.09,-18.81,2678.98,2550.7,2422.42,,,,,,,,,,
03-Oct-25,28-Oct-25,MARICO,Non-Hld,710,740,693.5,2.38,786.5,10.78,0.65,47.28,-5.77,-4,-1.77,743.49,717.12,690.75,,,,,,,,,,
03-Oct-25,28-Oct-25,MARUTI,Non-Hld,15808,17000,15820.05,-0.07,18179.95,15.01,0.54,62.5,470.3,550.79,-80.49,16527.37,15693.35,14859.33,,,,,,,,,,
03-Oct-25,28-Oct-25,MAXHEALTH,Non-Hld,1070,1200,1065.9,0.39,1334.1,24.69,0.74,26.65,-26.13,-20.65,-5.48,1206.69,1148.49,1090.28,,,,,,,,,,
03-Oct-25,28-Oct-25,MAZDOCK,Non-Hld,2886,3000,2777.15,3.92,3222.85,11.68,0.68,53.63,13.98,23.43,-9.45,3076.82,2857.47,2638.12,,,,,,,,,,
03-Oct-25,28-Oct-25,MCX,Holding,8171.5,8000,7434.9,9.91,8565.1,4.82,0.53,58.77,48.75,22.63,26.11,8207.66,7847.2,7486.74,,,,,,,,,,
03-Oct-25,28-Oct-25,MFSL,Non-Hld,1604.5,1600,1519.95,5.57,1680.05,4.71,0.75,55.15,0.7,-2.92,3.62,1621.56,1577.98,1534.4,,,,,,,,,,
03-Oct-25,28-Oct-25,MOTHERSON,Holding,106.66,115,105.05,1.54,124.95,17.15,0.46,57.22,2.19,2.6,-0.42,114.37,105.46,96.56,,,,,,,,,,
03-Oct-25,28-Oct-25,MPHASIS,Non-Hld,2737,2700,2534.2,8.01,2865.8,4.71,0.7,44.7,-38.96,-14.04,-24.91,3067.12,2828.94,2590.76,,,,,,,,,,
03-Oct-25,28-Oct-25,MUTHOOTFIN,Non-Hld,3172.8,3000,2772.5,14.44,3227.5,1.73,0.6,72.96,97.47,89.4,8.08,3171.48,2993.27,2815.06,,,,,,,,,,
03-Oct-25,28-Oct-25,NATIONALUM,Non-Hld,221.1,220,205.75,7.47,234.25,5.95,0.72,68.72,4.46,4.36,0.11,219.62,210.18,200.75,,,,,,,,,,
03-Oct-25,28-Oct-25,NAUKRI,Non-Hld,1334,1400,1307.2,2.06,1492.8,11.91,0.63,44.41,-11.35,-6.65,-4.7,1414.19,1358.61,1303.03,,,,,,,,,,
03-Oct-25,28-Oct-25,NBCC,Non-Hld,113.08,110,101.7,11.19,118.3,4.62,0.51,60.47,1.05,0.84,0.21,115.02,108.22,101.41,,,,,,,,,,
03-Oct-25,28-Oct-25,NCC,Non-Hld,210.23,210,197.45,6.48,222.55,5.87,0.79,48.9,-1.52,-1.57,0.04,217.89,209.88,201.87,,,,,,,,,,
